local_gov,type,county,fy_year,fy_total
Abingdon,Muni,Knox,2005,104394.36
Abingdon,Muni,Knox,2006,104613.8
Abingdon,Muni,Knox,2007,104572.13
Abingdon,Muni,Knox,2008,100335.73
Abingdon,Muni,Knox,2009,92788.09
Abingdon,Muni,Knox,2010,90809.25
Abingdon,Muni,Knox,2011,90750.64
Abingdon,Muni,Knox,2012,82188.73
Abingdon,Muni,Knox,2013,80043.12000000001
Abingdon,Muni,Knox,2014,82757.58
Abingdon,Muni,Knox,2015,78239.73999999999
Abingdon,Muni,Knox,2016,85176.59
Abingdon,Muni,Knox,2017,85111.4
Abingdon,Muni,Knox,2018,84930.64
Abingdon,Muni,Knox,2019,83716.27
Abingdon,Muni,Knox,2020,125419.43999999999
Abingdon,Muni,Knox,2021,125006.33
Abington,Twp,Mercer,2005,73586.66
Abington,Twp,Mercer,2006,74226
Abington,Twp,Mercer,2007,74961.58
Abington,Twp,Mercer,2008,72568.04
Abington,Twp,Mercer,2009,67695.37000000001
Abington,Twp,Mercer,2010,66571.23
Abington,Twp,Mercer,2011,66580.89
Abington,Twp,Mercer,2012,64619.810000000005
Abington,Twp,Mercer,2013,62970.14
Abington,Twp,Mercer,2014,65145.8
Abington,Twp,Mercer,2015,61663.99
Abington,Twp,Mercer,2016,67287.01
Abington,Twp,Mercer,2017,67142.73
Abington,Twp,Mercer,2018,67226.17000000001
Abington,Twp,Mercer,2019,66382.93
Abington,Twp,Mercer,2020,99459.84
Abington,Twp,Mercer,2021,99090.39
Adams,County,Adams,2005,1342049.57
Adams,County,Adams,2006,1388503.58
Adams,County,Adams,2007,1401608.8900000001
Adams,County,Adams,2008,1300691.37
Adams,County,Adams,2009,1173024.6700000002
Adams,County,Adams,2010,1111276.29
Adams,County,Adams,2011,1077119.71
Adams,County,Adams,2012,1082285.02
Adams,County,Adams,2013,1062510.25
Adams,County,Adams,2014,1098033.41
Adams,County,Adams,2015,1023590.7899999999
Adams,County,Adams,2016,1102891.6900000002
Adams,County,Adams,2017,1050468.4
Adams,County,Adams,2018,1066651.6800000002
Adams,County,Adams,2019,1048985.75
Adams,County,Adams,2020,1564578.76
Adams,County,Adams,2021,1620977.51
Adams,Twp,LaSalle,2005,77254.63
Adams,Twp,LaSalle,2006,77904.26
Adams,Twp,LaSalle,2007,78676.27
Adams,Twp,LaSalle,2008,76164.1
Adams,Twp,LaSalle,2009,71049.98
Adams,Twp,LaSalle,2010,69870.17000000001
Adams,Twp,LaSalle,2011,72135.72
Adams,Twp,LaSalle,2012,68012.87000000001
Adams,Twp,LaSalle,2013,66276.54
Adams,Twp,LaSalle,2014,68566.47
Adams,Twp,LaSalle,2015,64715.729999999996
Adams,Twp,LaSalle,2016,70820.06
Adams,Twp,LaSalle,2017,70668.15000000001
Adams,Twp,LaSalle,2018,70755.98
Adams,Twp,LaSalle,2019,69868.45999999999
Adams,Twp,LaSalle,2020,104682.14
Adams,Twp,LaSalle,2021,104293.04
Addieville,Muni,Washington,2005,7716.85
Addieville,Muni,Washington,2006,7733.08
Addieville,Muni,Washington,2007,7730.01
Addieville,Muni,Washington,2008,7416.84
Addieville,Muni,Washington,2009,6858.95
Addieville,Muni,Washington,2010,6712.660000000001
Addieville,Muni,Washington,2011,6708.31
Addieville,Muni,Washington,2012,6240.3
Addieville,Muni,Washington,2013,6077.41
Addieville,Muni,Washington,2014,6283.49
Addieville,Muni,Washington,2015,5940.469999999999
Addieville,Muni,Washington,2016,6467.160000000001
Addieville,Muni,Washington,2017,6462.21
Addieville,Muni,Washington,2018,6448.5
Addieville,Muni,Washington,2019,6356.29
Addieville,Muni,Washington,2020,9522.65
Addieville,Muni,Washington,2021,9491.28
Addison,Twp,DuPage,2005,55053.78999999999
Addison,Twp,DuPage,2006,55704.1
Addison,Twp,DuPage,2007,56257.450000000004
Addison,Twp,DuPage,2008,52430.49
Addison,Twp,DuPage,2009,48256.55
Addison,Twp,DuPage,2010,47514.07
Addison,Twp,DuPage,2011,47686.65
Addison,Twp,DuPage,2012,46276.87
Addison,Twp,DuPage,2013,45245.42
Addison,Twp,DuPage,2014,47028.17
Addison,Twp,DuPage,2015,43948.810000000005
Addison,Twp,DuPage,2016,39077.51
Addison,Twp,DuPage,2017,36788.2
Addison,Twp,DuPage,2018,38075.01
Addison,Twp,DuPage,2019,37969.59
Addison,Twp,DuPage,2020,56885.119999999995
Addison,Twp,DuPage,2021,56851.810000000005
Addison,Muni,DuPage,2005,1037989.7799999999
Addison,Muni,DuPage,2006,1040171.38
Addison,Muni,DuPage,2007,1041942.54
Addison,Muni,DuPage,2008,1026302.05
Addison,Muni,DuPage,2009,949100.38
Addison,Muni,DuPage,2010,928859.05
Addison,Muni,DuPage,2011,928259.53
Addison,Muni,DuPage,2012,914798.57
Addison,Muni,DuPage,2013,890916.73
Addison,Muni,DuPage,2014,921130.13
Addison,Muni,DuPage,2015,870844.6
Addison,Muni,DuPage,2016,948054.71
Addison,Muni,DuPage,2017,947329.2799999999
Addison,Muni,DuPage,2018,945317.15
Addison,Muni,DuPage,2019,931800.66
Addison,Muni,DuPage,2020,1395976.11
Addison,Muni,DuPage,2021,1391378.1600000001
Adeline,Muni,Ogle,2005,4017.4
Adeline,Muni,Ogle,2006,4025.8300000000004
Adeline,Muni,Ogle,2007,4024.25
Adeline,Muni,Ogle,2008,3861.2
Adeline,Muni,Ogle,2009,3570.7599999999998
Adeline,Muni,Ogle,2010,3494.61
Adeline,Muni,Ogle,2011,3492.3700000000003
Adeline,Muni,Ogle,2012,2104.86
Adeline,Muni,Ogle,2013,2049.92
Adeline,Muni,Ogle,2014,2119.4300000000003
Adeline,Muni,Ogle,2015,2003.74
Adeline,Muni,Ogle,2016,2181.4
Adeline,Muni,Ogle,2017,2179.71
Adeline,Muni,Ogle,2018,2175.08
Adeline,Muni,Ogle,2019,2143.9900000000002
Adeline,Muni,Ogle,2020,3212
Adeline,Muni,Ogle,2021,3201.4100000000003
Aetna,Twp,Logan,2005,73287.5
Aetna,Twp,Logan,2006,73924.23
Aetna,Twp,Logan,2007,74656.87000000001
Aetna,Twp,Logan,2008,72273.01
Aetna,Twp,Logan,2009,67420.18000000001
