Category,Catname,Subcategory,Rollup1,Rollup2
201t,Property Tax    ,,Property Tax    ,Property Tax    
202t,Local Sales Tax    ,,Local Sales Tax    ,Local Sales Tax    
203a,Utility Tax,Electric Utilities    ,Utility Tax,Utility Tax
203b,Utility Tax,Water Utilities    ,Utility Tax,Utility Tax
203c,Utility Tax,Communications Utilities    ,Utility Tax,Utility Tax
203d,Utility Tax,Other Utilities Tax     ,Utility Tax,Utility Tax
203t,Utility Tax,Utilities Tax    ,Utility Tax,Utility Tax
204t,Other Taxes ,,Other Revenues,Other Revenues
205t,State Gaming Tax(es)    ,,State Gaming Taxes,State Gaming Taxes
211t,State Income Tax    ,,State Income Tax    ,State Income Tax    
212t,State Sales Tax    ,,State Sales Tax    ,State Sales Tax    
213t,State Motor Fuel Tax    ,,State Motor Fuel Tax    ,State Motor Fuel Tax    
214t,State Replacement Tax    ,,State PP Replacement Tax    ,State PP Replacement Tax    
215a,Other state sources and grants,General Support    ,Other federal and state sources,Other state sources & grants
215b,Other state sources and grants,Public Welfare    ,Other federal and state sources,Other state sources & grants
215c,Other state sources and grants,Health and/or Hospitals    ,Other federal and state sources,Other state sources & grants
215d,Other state sources and grants,Streets and Highways    ,Other federal and state sources,Other state sources & grants
215e,Other state sources and grants,Culture and Recreation    ,Other federal and state sources,Other state sources & grants
215f,Other state sources and grants,Housing and Community Dev    ,Other federal and state sources,Other state sources & grants
215g,Other state sources and grants,Water Supply System    ,Other federal and state sources,Other state sources & grants
215h,Other state sources and grants,Electric/Gas Power System    ,Other federal and state sources,Other state sources & grants
215i,Other state sources and grants,Mass Transit    ,Other federal and state sources,Other state sources & grants
215j,Other state sources and grants,Other     ,Other federal and state sources,Other state sources & grants
215t,Other state sources and grants,Other State Sources     ,Other federal and state sources,Other state sources & grants
225a,Federal grants and revenues,General Support    ,Other federal and state sources,Federal grants & revenues
225b,Federal grants and revenues,Public Welfare    ,Other federal and state sources,Federal grants & revenues
225c,Federal grants and revenues,Health and/or Hospitals    ,Other federal and state sources,Federal grants & revenues
225d,Federal grants and revenues,Streets and Highways    ,Other federal and state sources,Federal grants & revenues
225e,Federal grants and revenues,Culture and Recreation    ,Other federal and state sources,Federal grants & revenues
225f,Federal grants and revenues,Housing and Community Dev    ,Other federal and state sources,Federal grants & revenues
225g,Federal grants and revenues,Water Supply System    ,Other federal and state sources,Federal grants & revenues
225h,Federal grants and revenues,Electric/Gas Power System    ,Other federal and state sources,Federal grants & revenues
225i,Federal grants and revenues,Mass Transit    ,Other federal and state sources,Federal grants & revenues
225j,Federal grants and revenues,Other     ,Other federal and state sources,Federal grants & revenues
225t,Federal grants and revenues,Federal Sources    ,Other federal and state sources,Federal grants & revenues
226t,Other Intergovernmental     ,,Other Revenues,Other Intergovernmental     
231t,Licenses and Permits    ,,Other Revenues,Other Revenues
233t,Fines and Forfeitures    ,,Other Revenues,Other Revenues
234a,Charges for services and utilities,Water Utilities    ,Charges for utilities,"Charges for water, gas, & electric utilities"
234b,Charges for services and utilities,Gas Utilities    ,Charges for utilities,"Charges for water, gas, & electric utilities"
234c,Charges for services and utilities,Electric Utilities    ,Charges for utilities,"Charges for water, gas, & electric utilities"
234d,Charges for services and utilities,Transit Utilities    ,Charges for utilities,Charges for other services and utilities
234e,Charges for services and utilities,Sewer Utilities    ,Charges for utilities,Charges for sewer
234f,Charges for services and utilities,Refuse and Disposal Charges    ,Charges for services,Charges for other services and utilities
234g,Charges for services and utilities,Parking    ,Charges for services,Charges for other services and utilities
234h,Charges for services and utilities,Housing    ,Charges for services,Charges for other services and utilities
234i,Charges for services and utilities,Highway or Bridge Tolls    ,Charges for services,Charges for other services and utilities
234j,Charges for services and utilities,Culture and Recreation    ,Charges for services,Charges for other services and utilities
234k,Charges for services and utilities,Other     ,Charges for services,Charges for other services and utilities
